datetime,timestamp,open,high,low,close,volume
2022-01-01 00:00:00,1640995200,0.5023,0.5277,0.5004,0.5229,1590674.75
2022-01-02 00:00:00,1641081600,0.5229,0.5697,0.52,0.5664,3428717.23
2022-01-03 00:00:00,1641168000,0.5664,0.5697,0.5241,0.5347,2443811.64
2022-01-04 00:00:00,1641254400,0.5347,0.5652,0.5209,0.5408,1987924.1
2022-01-05 00:00:00,1641340800,0.5408,0.6499,0.5218,0.569,13786195.02
2022-01-06 00:00:00,1641427200,0.569,0.6357,0.5324,0.5454,11116892.45
2022-01-07 00:00:00,1641513600,0.5454,0.5465,0.4943,0.4952,5267807.13
2022-01-08 00:00:00,1641600000,0.4952,0.5368,0.4566,0.4741,3371930.38
2022-01-09 00:00:00,1641686400,0.4741,0.4889,0.4499,0.4647,2498321.8
2022-01-10 00:00:00,1641772800,0.4647,0.4771,0.4172,0.451,3138800.15
2022-01-11 00:00:00,1641859200,0.451,0.4769,0.4347,0.4696,3683132.49
2022-01-12 00:00:00,1641945600,0.4696,0.5183,0.4564,0.5118,3091002.26
2022-01-13 00:00:00,1642032000,0.5118,0.5441,0.482,0.4862,4243798.44
2022-01-14 00:00:00,1642118400,0.4862,0.5095,0.4686,0.5052,2094729.07
2022-01-15 00:00:00,1642204800,0.5052,0.51,0.4837,0.4964,1560515.79
2022-01-16 00:00:00,1642291200,0.4964,0.5085,0.48,0.4836,2303351.44
2022-01-17 00:00:00,1642377600,0.4836,0.4839,0.4506,0.4632,2667801.27
2022-01-18 00:00:00,1642464000,0.4632,0.476,0.4375,0.4723,2127056.95
2022-01-19 00:00:00,1642550400,0.4723,0.4887,0.441,0.4633,3326855.74
2022-01-20 00:00:00,1642636800,0.4633,0.5425,0.4576,0.4617,6880429.69
2022-01-21 00:00:00,1642723200,0.4617,0.4754,0.367,0.3771,5536340.07
2022-01-22 00:00:00,1642809600,0.3771,0.3917,0.3121,0.3352,4679736.56
2022-01-23 00:00:00,1642896000,0.3352,0.3698,0.3261,0.3553,3850161.37
2022-01-24 00:00:00,1642982400,0.3553,0.3553,0.2837,0.3273,4286073.21
2022-01-25 00:00:00,1643068800,0.3273,0.3385,0.313,0.3245,1631847.25
2022-01-26 00:00:00,1643155200,0.3245,0.354,0.308,0.3165,2257939.44
2022-01-27 00:00:00,1643241600,0.3165,0.3282,0.2977,0.3134,1430422.72
2022-01-28 00:00:00,1643328000,0.3134,0.3212,0.2997,0.315,1526792.11
2022-01-29 00:00:00,1643414400,0.315,0.3316,0.3128,0.3163,1896667.52
2022-01-30 00:00:00,1643500800,0.3163,0.3297,0.3025,0.3108,2198045.8
2022-01-31 00:00:00,1643587200,0.3108,0.3329,0.2925,0.3206,1895613.0
2022-02-01 00:00:00,1643673600,0.3206,0.3336,0.3176,0.3252,2192143.23
2022-02-02 00:00:00,1643760000,0.3252,0.3298,0.3002,0.3034,1600345.54
2022-02-03 00:00:00,1643846400,0.3034,0.3156,0.2979,0.3148,1920160.96
2022-02-04 00:00:00,1643932800,0.3148,0.338,0.3098,0.3371,1697856.16
2022-02-05 00:00:00,1644019200,0.3371,0.3545,0.3334,0.3436,2347386.05
2022-02-06 00:00:00,1644105600,0.3436,0.3556,0.337,0.3486,1471393.07
2022-02-07 00:00:00,1644192000,0.3486,0.4261,0.3418,0.3898,4371376.81
2022-02-08 00:00:00,1644278400,0.3898,0.4344,0.3659,0.3871,5557854.83
2022-02-09 00:00:00,1644364800,0.3871,0.4311,0.3785,0.4196,2829895.06
2022-02-10 00:00:00,1644451200,0.4196,0.4298,0.3789,0.3956,4195886.71
2022-02-11 00:00:00,1644537600,0.3956,0.4064,0.3504,0.3638,2401770.82
2022-02-12 00:00:00,1644624000,0.3638,0.3698,0.3418,0.346,1170322.25
2022-02-13 00:00:00,1644710400,0.346,0.366,0.3355,0.3355,1550152.24
2022-02-14 00:00:00,1644796800,0.3355,0.3513,0.3209,0.344,1547394.15
2022-02-15 00:00:00,1644883200,0.344,0.3673,0.3421,0.3598,1635201.92
2022-02-16 00:00:00,1644969600,0.3598,0.3876,0.3541,0.3731,4347072.33
2022-02-17 00:00:00,1645056000,0.3731,0.3779,0.3295,0.3337,2905345.66
2022-02-18 00:00:00,1645142400,0.3337,0.3481,0.3246,0.3277,1663222.61
2022-02-19 00:00:00,1645228800,0.3277,0.3503,0.3177,0.334,1635943.74
2022-02-20 00:00:00,1645315200,0.334,0.3412,0.2964,0.3069,2513754.23
2022-02-21 00:00:00,1645401600,0.3069,0.3345,0.2745,0.2758,2248630.85
2022-02-22 00:00:00,1645488000,0.2758,0.2972,0.26,0.2926,1952978.57
2022-02-23 00:00:00,1645574400,0.2926,0.3035,0.2715,0.2721,1405333.61
2022-02-24 00:00:00,1645660800,0.2721,0.2751,0.2257,0.2613,2971778.51
2022-02-25 00:00:00,1645747200,0.2613,0.2867,0.257,0.2787,2159452.19
2022-02-26 00:00:00,1645833600,0.2787,0.291,0.2726,0.2759,1735286.84
2022-02-27 00:00:00,1645920000,0.2759,0.2908,0.2507,0.2621,2748684.7
2022-02-28 00:00:00,1646006400,0.2621,0.2854,0.2592,0.283,2432571.84
2022-03-01 00:00:00,1646092800,0.283,0.4193,0.2806,0.3632,12140591.17
2022-03-02 00:00:00,1646179200,0.3632,0.4369,0.3332,0.3394,21581727.29
2022-03-03 00:00:00,1646265600,0.3394,0.3508,0.314,0.3209,3508719.14
2022-03-04 00:00:00,1646352000,0.3209,0.3692,0.3062,0.31,7206914.52
2022-03-05 00:00:00,1646438400,0.31,0.3576,0.3025,0.3428,5818182.01
2022-03-06 00:00:00,1646524800,0.3428,0.3758,0.3132,0.316,6689262.87
2022-03-07 00:00:00,1646611200,0.316,0.3465,0.3053,0.3245,4667901.39
2022-03-08 00:00:00,1646697600,0.3245,0.3348,0.3153,0.32,2234872.6
2022-03-09 00:00:00,1646784000,0.32,0.3733,0.3178,0.357,5096395.15
2022-03-10 00:00:00,1646870400,0.357,0.3614,0.3181,0.3554,3960917.31
2022-03-11 00:00:00,1646956800,0.3554,0.368,0.3358,0.34,3804177.54
2022-03-12 00:00:00,1647043200,0.34,0.3547,0.3327,0.3383,2013012.19
2022-03-13 00:00:00,1647129600,0.3383,0.3452,0.3138,0.3159,2679875.03
2022-03-14 00:00:00,1647216000,0.3159,0.3406,0.3123,0.3238,1780860.48
2022-03-15 00:00:00,1647302400,0.3238,0.3339,0.3154,0.3267,2652516.0
2022-03-16 00:00:00,1647388800,0.3267,0.3366,0.3154,0.3292,1898163.91
2022-03-17 00:00:00,1647475200,0.3292,0.3411,0.323,0.3297,1240512.69
2022-03-18 00:00:00,1647561600,0.3297,0.3378,0.3193,0.3306,1141244.47
2022-03-19 00:00:00,1647648000,0.3306,0.35,0.3297,0.3437,2168687.77
2022-03-20 00:00:00,1647734400,0.3437,0.3511,0.3216,0.3271,1497622.98
2022-03-21 00:00:00,1647820800,0.3271,0.3483,0.3223,0.34,1430657.58
2022-03-22 00:00:00,1647907200,0.34,0.4257,0.3391,0.3743,7824592.7
