datetime,timestamp,open,high,low,close,volume
2016-01-01 00:00:00,1451606400,0.007739,0.008202,0.007812,0.008202,45.03
2016-01-02 00:00:00,1451692800,0.008202,0.008197,0.008197,0.008197,0.0
2016-01-03 00:00:00,1451779200,0.008197,0.00814,0.00814,0.00814,0.0
2016-01-04 00:00:00,1451865600,0.00814,0.00819,0.00819,0.00819,0.0
2016-01-05 00:00:00,1451952000,0.00819,0.00815,0.00815,0.00815,0.0
2016-01-06 00:00:00,1452038400,0.00815,0.008142,0.006557,0.006557,1.18
2016-01-07 00:00:00,1452124800,0.006557,0.006956,0.006956,0.006956,0.0
2016-01-08 00:00:00,1452211200,0.006956,0.006893,0.006322,0.006322,0.1815
2016-01-09 00:00:00,1452297600,0.006322,0.006707,0.005828,0.006707,97.95
2016-01-10 00:00:00,1452384000,0.006707,0.006675,0.006492,0.006497,39.6
2016-01-11 00:00:00,1452470400,0.006497,0.006519,0.00612,0.00612,8.422
2016-01-12 00:00:00,1452556800,0.00612,0.006084,0.005786,0.005786,2.148
2016-01-13 00:00:00,1452643200,0.005786,0.01258,0.005458,0.01258,184.65
2016-01-14 00:00:00,1452729600,0.01258,0.01485,0.008175,0.01485,53.74
2016-01-15 00:00:00,1452816000,0.01485,0.01288,0.01288,0.01288,0.0
2016-01-16 00:00:00,1452902400,0.01288,0.01477,0.007339,0.007339,0.174
2016-01-17 00:00:00,1452988800,0.007339,0.007653,0.00729,0.007653,3.79
2016-01-18 00:00:00,1453075200,0.007653,0.007703,0.007692,0.007703,0.03993
2016-01-19 00:00:00,1453161600,0.007703,0.007604,0.007604,0.007604,0.0
2016-01-20 00:00:00,1453248000,0.007604,0.008308,0.008308,0.008308,0.0
2016-01-21 00:00:00,1453334400,0.008308,0.008221,0.008221,0.008221,0.0
2016-01-22 00:00:00,1453420800,0.008221,0.007668,0.007668,0.007668,0.0
2016-01-23 00:00:00,1453507200,0.007668,0.007788,0.007788,0.007788,0.0
2016-01-24 00:00:00,1453593600,0.007788,0.008059,0.008059,0.008059,0.0
2016-01-25 00:00:00,1453680000,0.008059,0.007871,0.007871,0.007871,0.0
2016-01-26 00:00:00,1453766400,0.007871,0.007811,0.007811,0.007811,0.0
2016-01-27 00:00:00,1453852800,0.007811,0.007916,0.007916,0.007916,0.0
2016-01-28 00:00:00,1453939200,0.007916,0.007609,0.007609,0.007609,0.0
2016-01-29 00:00:00,1454025600,0.007609,0.007621,0.007621,0.007621,0.0
2016-01-30 00:00:00,1454112000,0.007621,0.00757,0.00757,0.00757,0.0
2016-01-31 00:00:00,1454198400,0.00757,0.007767,0.007031,0.007031,7.449
2016-02-01 00:00:00,1454284800,0.007031,0.007075,0.005851,0.005851,1.524
2016-02-02 00:00:00,1454371200,0.005851,0.0329,0.005878,0.01013,3479.48
2016-02-03 00:00:00,1454457600,0.01013,0.01265,0.009966,0.01265,24.75
2016-02-04 00:00:00,1454544000,0.01265,0.01653,0.01122,0.01172,101.83
2016-02-05 00:00:00,1454630400,0.01172,0.01159,0.01159,0.01159,0.0
2016-02-06 00:00:00,1454716800,0.01159,0.0113,0.01023,0.01023,59.43
2016-02-07 00:00:00,1454803200,0.01023,0.01026,0.0102,0.0102,0.1348
2016-02-08 00:00:00,1454889600,0.0102,0.01006,0.01006,0.01006,0.0
2016-02-09 00:00:00,1454976000,0.01006,0.008989,0.008989,0.008989,0.2691
2016-02-10 00:00:00,1455062400,0.008989,0.009146,0.00611,0.00611,36.66
2016-02-11 00:00:00,1455148800,0.00611,0.008708,0.006071,0.008708,11.03
2016-02-12 00:00:00,1455235200,0.008708,0.008829,0.008814,0.008829,3.84
2016-02-13 00:00:00,1455321600,0.008829,0.008968,0.008145,0.008968,4.574
2016-02-14 00:00:00,1455408000,0.008968,0.009322,0.00768,0.007802,3.745
2016-02-15 00:00:00,1455494400,0.007802,0.007717,0.00762,0.00762,36.96
2016-02-16 00:00:00,1455580800,0.00762,0.01079,0.007722,0.01079,15.11
2016-02-17 00:00:00,1455667200,0.01079,0.01108,0.007383,0.007383,15.55
2016-02-18 00:00:00,1455753600,0.007383,0.008259,0.007459,0.008259,7.415
2016-02-19 00:00:00,1455840000,0.008259,0.008232,0.008232,0.008232,0.0
2016-02-20 00:00:00,1455926400,0.008232,0.009686,0.007921,0.007921,4.402
2016-02-21 00:00:00,1456012800,0.007921,0.007899,0.00775,0.00775,3.364
2016-02-22 00:00:00,1456099200,0.00775,0.00778,0.007749,0.00778,0.08075
2016-02-23 00:00:00,1456185600,0.00778,0.007462,0.007449,0.007449,1.556
2016-02-24 00:00:00,1456272000,0.007449,0.007499,0.007499,0.007499,0.0
2016-02-25 00:00:00,1456358400,0.007499,0.007513,0.007513,0.007513,0.0
2016-02-26 00:00:00,1456444800,0.007513,0.007581,0.007581,0.007581,0.0
2016-02-27 00:00:00,1456531200,0.007581,0.007651,0.007651,0.007651,0.0
2016-02-28 00:00:00,1456617600,0.007651,0.007672,0.007672,0.007672,0.0
2016-02-29 00:00:00,1456704000,0.007672,0.007786,0.007738,0.007786,0.1556
